"mean","se","p.yr","mu.v.yr","r","case","actual","mean.actual","se.actual"
-32.9283653449708,1.70742567579559,"-0.5","-0.5","1","all",0,-1.78285377326522,1.34318917329548
-15.2039680884942,2.06969338521321,"-0.5","0","1","all",0,1.56942634958824,1.34165062964341
-45.0030897963003,1.90118644344694,"-1","-0.5","1","all",0,-3.22083509912874,1.44454535970679
-29.8148674384986,1.24581691413464,"-1","0","1","all",0,-0.787411160075169,1.26790718028321
-19.2414641940567,2.04294007115374,"0","-0.5","1","all",0,-0.388688551082358,1.41263237973183
-5.17392983721351,2.14197385222879,"0","0","1","all",0,-1.82309662107652,1.26615123915741
-1.69712502491609,2.23666149166066,"0.5","-0.5","1","all",0,-1.55055015359332,1.20348660607919
8.91470964416977,2.40092630727313,"0.5","0","1","all",0,-0.542472427639597,1.30768988476244
13.6051824421859,2.21820259028857,"1","-0.5","1","all",0,0.200032553068427,1.17564401512629
35.4598376992538,2.6580834997813,"1","0","1","all",0,1.65181911083737,1.28470043757559
-30.7935496646012,1.3525494620982,"-0.5","-0.5","10","all",0,-1.44661508490129,1.42121840623564
-16.8484561619016,1.77863369021461,"-0.5","0","10","all",0,0.188435773670215,1.20500096601123
-34.6894658311523,1.50948398088357,"-1","-0.5","10","all",0,-0.476894724138185,1.5039395199131
-25.4601876077145,2.2750122695485,"-1","0","10","all",0,1.51984852583593,1.39408833843244
-17.3360554971582,2.30158416615196,"0","-0.5","10","all",0,-2.67117442566249,1.29335575006945
5.4454788912659,1.84877306312266,"0","0","10","all",0,1.12200957167004,1.33436798373624
2.54911219804965,2.14829775994714,"0.5","-0.5","10","all",0,0.78115954436537,1.25736568933805
19.1406635826104,2.52634034151958,"0.5","0","10","all",0,1.97259767433208,1.21755933843495
13.205434277212,2.34825619986658,"1","-0.5","10","all",0,1.08420742851262,1.47862106091637
23.0596320013953,2.49224941221166,"1","0","10","all",0,-0.546120901497882,1.24522682002923
-28.2540403028047,1.66451847187817,"-0.5","-0.5","2","all",0,1.3672933847966,1.27187280903916
-15.8549027354476,1.88295442308744,"-0.5","0","2","all",0,-1.30546365929501,1.4903060044415
-42.6306740641514,1.39564248313377,"-1","-0.5","2","all",0,0.370502583202519,1.23899935968666
-32.4596547377194,1.66880600532077,"-1","0","2","all",0,-1.6275574558734,1.20055165728134
-17.6923449112239,2.16586925957502,"0","-0.5","2","all",0,-1.08176771005779,1.36505644122772
2.41300774833407,2.17213675597414,"0","0","2","all",0,0.50695941867304,1.49330685097723
1.32333462931977,1.80899133303379,"0.5","-0.5","2","all",0,-0.53903933709417,1.05625706312801
12.768331287448,2.24985319969385,"0.5","0","2","all",0,0.315673957815682,1.14068815259547
11.5984285706517,1.93110050192544,"1","-0.5","2","all",0,0.863225999380109,1.34247807779943
31.9602918123911,2.51157331483009,"1","0","2","all",0,0.774804036360921,1.05501774682193
-29.1712728948599,1.29862947327744,"-0.5","-0.5","3","all",0,4.85644693953287,1.29242603779856
-15.1214200416331,1.77300492460622,"-0.5","0","3","all",0,0.310628893260382,1.14127578503234
-40.8706851301125,1.62703398587965,"-1","-0.5","3","all",0,-0.110332157712285,1.2587852926725
-29.6599266417852,1.70281721689938,"-1","0","3","all",0,-0.162272087437362,0.99149857898965
-18.3504268846282,1.67071042634483,"0","-0.5","3","all",0,0.312675304959238,1.08022871694755
1.86162767731724,1.89569888146642,"0","0","3","all",0,-1.65742994365124,1.23037317403007
-0.606954106796192,2.16080816581901,"0.5","-0.5","3","all",0,-0.231287676602005,1.21672168439614
16.5999737779223,2.05682369026411,"0.5","0","3","all",0,0.816967893466757,1.04449067939136
12.03281633673,2.0921792325753,"1","-0.5","3","all",0,1.20016426870101,1.03257681865146
24.8190452899243,2.14135380404965,"1","0","3","all",0,-1.32247683353658,1.23025420792141
-15.4767542861507,1.77507029607618,"-0.5","0","4","all",0,1.66833099312836,1.14640264602222
-41.9807380441185,1.82673260176579,"-1","-0.5","4","all",0,0.518024402587432,1.49513881859279
-28.0964574012039,1.54926714932988,"-1","0","4","all",0,-0.428297863853717,1.39036861671241
-12.8445513087678,1.78280966515203,"0","-0.5","4","all",0,0.180457015124794,1.37887148336094
-3.39576089405088,2.1617982260624,"0","0","4","all",0,1.06772352866396,1.5488316665733
-2.39127696244992,1.61566742319148,"0.5","-0.5","4","all",0,-0.168119277904328,1.41381760376636
11.6383530016191,2.09150358258819,"0.5","0","4","all",0,-1.1196982364282,1.09252380851459
9.90192028608089,2.23813328291961,"1","-0.5","4","all",0,-2.50792858420127,1.34208706733653
32.917266852262,2.58961456076427,"1","0","4","all",0,0.272783033324515,1.23623718972674
-28.5922346440593,1.517366777384,"-0.5","-0.5","5","all",0,-0.545743726398417,1.26870618883902
-10.5504692560954,2.41612019148106,"-0.5","0","5","all",0,0.379520042546279,1.1534164876584
-37.8961619119685,1.28504526495242,"-1","-0.5","5","all",0,1.56017630577976,0.982347156247913
-31.7520174762181,1.67773428548269,"-1","0","5","all",0,-0.225050364820384,1.25453759026568
-19.5936070913596,1.55938088830222,"0","-0.5","5","all",0,-0.450390832497912,1.17816277467776
2.3440895803644,2.14714969485622,"0","0","5","all",0,0.271183766359033,1.25532689372903
-0.134260689593892,2.06779022512418,"0.5","-0.5","5","all",0,0.177246899461657,1.2773563085404
12.3538835823766,1.93845292691869,"0.5","0","5","all",0,0.176683231141146,1.11537146095465
17.7594263220866,2.47921794014168,"1","-0.5","5","all",0,0.753885889217768,1.19091718876598
28.612301261626,2.25524901693207,"1","0","5","all",0,-0.66624156127204,1.12635273275363
-29.2391696494021,1.56648437306687,"-0.5","-0.5","6","all",0,-2.32550088078264,1.43441896506451
-18.189661972339,1.65055782063205,"-0.5","0","6","all",0,1.73633174367759,1.25842262703792
-41.2663529670881,1.44233668356639,"-1","-0.5","6","all",0,-1.15219761569323,1.37563796512756
-30.7610618243699,1.52345411571661,"-1","0","6","all",0,0.3302589652525,1.14150920513604
-17.4063225825879,1.8707598027317,"0","-0.5","6","all",0,0.156713637894932,1.16025789345896
-1.67672897977656,1.80157457347123,"0","0","6","all",0,0.456064915974368,1.24294134095087
-6.0344520184763,1.80763986654624,"0.5","-0.5","6","all",0,-2.35506834634521,1.20272841438999
13.9539432797839,2.55179778071237,"0.5","0","6","all",0,0.67285976260386,1.25921052851312
12.111078286286,2.13569508862753,"1","-0.5","6","all",0,-1.26778169715806,1.30543243521712
35.0472124384654,2.61828775441349,"1","0","6","all",0,0.201627538008908,1.08780810821778
-31.8049112848439,1.56888756677817,"-0.5","-0.5","7","all",0,0.213386206497069,1.31308835642824
-19.0756169136034,1.86400779693285,"-0.5","0","7","all",0,-2.75055263646692,1.29296523665776
-45.1229125317498,1.54492567084787,"-1","-0.5","7","all",0,-1.96625801421477,1.21629842238949
-29.9844722678397,1.55398686474062,"-1","0","7","all",0,0.30667364279673,1.09954391390449
-17.7453547816457,1.61223126095495,"0","-0.5","7","all",0,0.445279778150854,0.961166459730102
0.31760363403899,2.00014421152874,"0","0","7","all",0,1.0705684769508,1.12974304755224
2.1524256139426,2.37228333372623,"0.5","-0.5","7","all",0,1.69110674870338,1.56187588462563
10.9754615080191,2.05722869925165,"0.5","0","7","all",0,1.34363268780745,1.22369507338346
11.1573902406754,2.29134368673833,"1","-0.5","7","all",0,-0.849584237439893,1.28170858283894
33.7047072166344,2.28247539091594,"1","0","7","all",0,2.21747117733981,1.10835879326361
-13.8153063983074,2.18543572767522,"-0.5","0","8","all",0,-1.22055808859366,1.26718111686975
-42.0435260154392,1.4409726317194,"-1","-0.5","8","all",0,0.0611396719539865,1.15519669116347
-27.4164511190436,1.78379603248096,"-1","0","8","all",0,0.975756567527606,1.19558053816131
-12.7250039633987,2.12989176245605,"0","-0.5","8","all",0,0.92720060187859,1.32471161621349
0.445306085280066,1.92100279883457,"0","0","8","all",0,-1.41947876291623,1.31425838449066
-0.476618981591304,2.07280442377955,"0.5","-0.5","8","all",0,1.34924703572847,1.19772843041101
17.0488833799385,2.90743407924687,"0.5","0","8","all",0,1.18437386802257,1.32659592258718
10.2441422810508,2.60359693312149,"1","-0.5","8","all",0,-1.48720816987768,1.31044521721228
29.3130092600948,2.53503508671618,"1","0","8","all",0,-2.18019977096948,1.12457810465125
-30.2352152312087,1.60155855873199,"-0.5","-0.5","9","all",0,0.835508350347096,1.27091239472804
-13.091421362901,1.74118558299605,"-0.5","0","9","all",0,-0.0976901934962084,1.0146251910665
-42.9536025305152,1.32935069738636,"-1","-0.5","9","all",0,-1.2169053112819,1.16423128181542
-28.3228884747579,1.76570606762987,"-1","0","9","all",0,-0.710896350208738,1.56661448859076
-16.8612366818836,2.04550457701438,"0","-0.5","9","all",0,-0.0497891322806288,1.5801039575555
3.09467158508458,2.08149896501372,"0","0","9","all",0,-0.150683115245189,1.14979397957718
-0.875784508068748,1.91980803076701,"0.5","-0.5","9","all",0,0.651664434226006,1.27086990575918
25.6894353260743,2.43528366516243,"0.5","0","9","all",0,2.17208367326129,1.26844191702359
15.6434205568266,2.18627874771248,"1","-0.5","9","all",0,1.47295503006141,1.31180920680376
34.8229346035628,2.52574846033887,"1","0","9","all",0,0.220404439265576,1.14722914391922
